EXPORATION PHASE,,,,
Average price of product (marked),2526.860819,,,
Average price of product discounted,1533.30139,,,
Average Rating,2.315824086,,,
Most expensive Product Price,113999,,,
Least Expensive price,50,,,
Total people goven rating,18108278,"ambiguous, might have possibility that one person may have given multiple ratings on multiple products",,
Total number of brands,3195,,,
Total products listed,45275,,,
,,,,
,,,,
LIST OF TASKS PERFORMED,,,,
Data Exploration,,,,
Creating New columns and keeping only the relevant Product-category and product_id from the product_link using text to columns feature (can use textsplit function if supported),,,,
Remving duplicates on the basis of product link and product id and selecting the duplicate removal on the basis of product id,,,,
